epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8519,1.2338,2.79682,4.48067,1.30326,0,0.10314,0.35759,0.09408,0.06572,0.10391,0.37147,0.09593,0.06678,1.07776,1.88644,4.39823,1.33425,0,0.000151125,0.000151125,0.000151125
2,122.775,1.19273,2.10747,4.02933,1.21738,0,0.32478,0.41656,0.3165,0.2274,0.68056,0.2027,0.31249,0.21072,1.11334,1.68646,3.8342,1.23593,0,0.000287803,0.000287803,0.000287803
3,163.659,1.2459,2.01842,3.68195,1.24853,0,0.42916,0.47101,0.42116,0.28053,0.42916,0.47101,0.41831,0.27495,1.18254,1.73083,3.84804,1.36151,0,0.000409467,0.000409467,0.000409467
4,203.202,1.27329,1.86563,3.31844,1.25979,0,0.58382,0.38233,0.50642,0.33948,0.43985,0.50091,0.5197,0.38718,1.26126,1.55037,3.47388,1.43862,0,0.000387433,0.000387433,0.000387433
5,243.529,1.19858,1.77629,3.04931,1.20645,0,0.60519,0.35626,0.5055,0.37422,0.60519,0.35626,0.51121,0.3701,1.09876,1.50777,3.77809,1.26624,0,0.00036491,0.00036491,0.00036491
6,286.509,1.18859,1.74358,2.74308,1.19181,0,0.51055,0.61247,0.63726,0.46708,0.51055,0.61247,0.6366,0.47437,1.05669,1.42956,3.96608,1.24589,0,0.000342387,0.000342387,0.000342387
7,327.957,1.10606,1.64853,2.6385,1.16327,0,0.47985,0.69255,0.72484,0.5261,0.47985,0.69255,0.72046,0.53846,1.03741,1.44252,3.2839,1.1857,0,0.000319865,0.000319865,0.000319865
8,370.129,1.11354,1.63954,2.42676,1.16095,0,0.52741,0.72978,0.75076,0.54718,0.52741,0.72978,0.73712,0.53065,0.97173,1.51557,2.91171,1.16162,0,0.000297342,0.000297342,0.000297342
9,411.247,1.06175,1.6248,2.31438,1.11709,0,0.57788,0.70045,0.77061,0.55424,0.58417,0.70674,0.76788,0.53213,0.98878,1.48469,3.29908,1.13192,0,0.00027482,0.00027482,0.00027482
10,454.037,1.04483,1.63744,2.16738,1.11097,0,0.67546,0.76092,0.78397,0.58859,0.67546,0.76092,0.78,0.53275,0.89899,1.3724,3.49637,1.12585,0,0.000252298,0.000252298,0.000252298
11,502.429,1.04592,1.4108,2.58423,1.17239,0,0.63882,0.70929,0.74536,0.53512,0.63882,0.70929,0.74108,0.51216,0.92794,1.5161,4.16792,1.15702,0,0.000229775,0.000229775,0.000229775
12,545.448,0.98153,1.31026,2.43892,1.13706,0,0.63017,0.79455,0.79401,0.60368,0.63017,0.79455,0.80845,0.57218,0.9748,1.41926,4.41065,1.14477,0,0.000207252,0.000207252,0.000207252
13,588.574,0.93718,1.23643,2.19232,1.12457,0,0.66188,0.79675,0.78615,0.56317,0.66188,0.79675,0.7876,0.5467,0.93886,1.50578,4.27094,1.13243,0,0.00018473,0.00018473,0.00018473
14,630.67,0.90584,1.23456,2.10868,1.1075,0,0.6769,0.70833,0.74462,0.57024,0.6769,0.70833,0.74462,0.53395,0.88483,1.48344,4.02741,1.10523,0,0.000162207,0.000162207,0.000162207
15,674.686,0.91546,1.16494,2.02829,1.09402,0,0.72432,0.81966,0.84091,0.657,0.73818,0.83353,0.83955,0.5879,0.91599,1.49182,4.15891,1.0875,0,0.000139685,0.000139685,0.000139685
16,717.447,0.88371,1.17433,1.94001,1.06378,0,0.72144,0.82739,0.84547,0.65124,0.72144,0.82739,0.84315,0.59863,0.84464,1.41472,4.15776,1.0728,0,0.000117163,0.000117163,0.000117163
17,760.551,0.85654,1.10382,1.88435,1.0416,0,0.75616,0.83333,0.86696,0.64702,0.75616,0.83333,0.86392,0.59339,0.83712,1.48838,4.40783,1.05188,0,9.464e-05,9.464e-05,9.464e-05
18,802.145,0.82513,1.12606,1.83644,1.03057,0,0.76749,0.85379,0.88842,0.70293,0.76749,0.85379,0.89388,0.6377,0.79684,1.35702,3.61758,1.02955,0,7.21175e-05,7.21175e-05,7.21175e-05
19,844.187,0.81457,1.08674,1.79695,1.01937,0,0.79464,0.83736,0.8956,0.70681,0.79464,0.83736,0.89097,0.63273,0.77463,1.40241,3.77322,1.01856,0,4.9595e-05,4.9595e-05,4.9595e-05
20,887.138,0.78559,1.04461,1.74279,1.02011,0,0.77587,0.85309,0.89905,0.70127,0.77587,0.85309,0.89905,0.6359,0.75808,1.34971,3.49821,1.01867,0,2.70725e-05,2.70725e-05,2.70725e-05
