epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8382,1.2338,2.79682,4.48067,1.30326,0,0.10314,0.35759,0.09408,0.06572,0.10391,0.37147,0.09593,0.06678,1.07776,1.88644,4.39823,1.33425,0,0.000151125,0.000151125,0.000151125
2,125.595,1.19668,2.10376,4.01822,1.22237,0,0.24498,0.42606,0.23771,0.16615,0.25389,0.41916,0.23556,0.16185,1.19595,1.68839,4.02885,1.29106,0,0.000299794,0.000299794,0.000299794
3,173.698,1.2605,2.04583,3.7027,1.27236,0,0.37642,0.48351,0.40005,0.28738,0.37642,0.48351,0.39505,0.28419,1.15857,1.68478,3.62577,1.34269,0,0.00044546,0.00044546,0.00044546
4,218.859,1.27047,1.88368,3.29727,1.25806,0,0.67519,0.41639,0.43735,0.29531,0.67519,0.41639,0.44452,0.31249,1.26497,1.75471,4.07044,1.44494,0,0.000441486,0.000441486,0.000441486
5,266.997,1.22684,1.83306,3.05273,1.2308,0,0.36594,0.51307,0.45831,0.32599,0.69681,0.36409,0.45309,0.31555,1.17319,1.60204,4.37114,1.32336,0,0.000436982,0.000436982,0.000436982
6,320.424,1.20268,1.83213,2.76648,1.23031,0,0.39232,0.62215,0.61944,0.4652,0.38846,0.61346,0.61391,0.46669,1.03691,1.59277,3.98186,1.22374,0,0.000432478,0.000432478,0.000432478
7,366.793,1.1482,1.70218,2.67103,1.19941,0,0.41588,0.67237,0.63105,0.44648,0.60213,0.61331,0.61186,0.4389,1.05561,1.41648,4.06179,1.21021,0,0.000427973,0.000427973,0.000427973
8,418.112,1.12715,1.68886,2.47737,1.17706,0,0.44959,0.70558,0.67881,0.52346,0.4599,0.71947,0.69256,0.47166,0.99096,1.6792,3.81881,1.21201,0,0.000423468,0.000423468,0.000423468
9,462.604,1.09419,1.69978,2.3056,1.14066,0,0.686,0.6548,0.76009,0.53333,0.686,0.6548,0.75834,0.53932,1.01718,1.54708,4.34066,1.19596,0,0.000418964,0.000418964,0.000418964
10,510.189,1.11572,1.71173,2.22726,1.14542,0,0.56262,0.81009,0.78912,0.59277,0.56262,0.81009,0.7885,0.53551,0.98567,1.54944,2.83751,1.17698,0,0.00041446,0.00041446,0.00041446
11,559.017,1.09507,1.68763,2.08728,1.13147,0,0.57251,0.78659,0.81138,0.57377,0.55524,0.7929,0.79627,0.57868,0.96899,1.45675,3.68233,1.2149,0,0.000409955,0.000409955,0.000409955
12,605.869,1.06719,1.58379,1.97141,1.13359,0,0.76134,0.78773,0.84361,0.60174,0.76134,0.78773,0.84309,0.57565,1.00205,1.46857,2.48432,1.19038,0,0.000405451,0.000405451,0.000405451
13,651.04,1.06213,1.56837,1.9467,1.12347,0,0.68554,0.82396,0.87566,0.6392,0.68554,0.82396,0.87139,0.60256,0.98261,1.54717,2.48311,1.18083,0,0.000400946,0.000400946,0.000400946
14,695.211,1.02617,1.55418,1.85702,1.09994,0,0.64047,0.80308,0.87489,0.66547,0.64047,0.80308,0.86838,0.62107,0.95983,1.47867,2.53912,1.17355,0,0.000396441,0.000396441,0.000396441
15,739.813,1.05556,1.50198,1.82216,1.10936,0,0.72543,0.81382,0.84296,0.59409,0.72543,0.81382,0.83791,0.5642,1.01479,1.49023,2.59981,1.1885,0,0.000391937,0.000391937,0.000391937
16,786.014,1.05362,1.54743,1.76388,1.10746,0,0.71145,0.83965,0.84913,0.65063,0.71242,0.83881,0.88124,0.62809,0.91562,1.5048,2.47298,1.13565,0,0.000387433,0.000387433,0.000387433
17,830.697,1.0055,1.53723,1.62884,1.09316,0,0.797,0.83167,0.88073,0.66615,0.83027,0.8384,0.89792,0.62049,0.94643,1.56883,2.25326,1.12031,0,0.000382928,0.000382928,0.000382928
18,877.096,1.00147,1.51622,1.69763,1.09726,0,0.80743,0.83626,0.8934,0.64232,0.79391,0.82237,0.86718,0.63071,0.96852,1.49198,2.73127,1.17637,0,0.000378423,0.000378423,0.000378423
19,926.013,0.98396,1.39875,1.62611,1.08313,0,0.84318,0.80144,0.90146,0.67546,0.73461,0.87384,0.90715,0.61565,0.93501,1.30826,1.97165,1.09111,0,0.000373919,0.000373919,0.000373919
20,968.328,1.01536,1.43798,1.58474,1.08331,0,0.71044,0.92344,0.91011,0.64965,0.71044,0.92344,0.91981,0.62648,0.97564,1.25723,2.40693,1.1192,0,0.000369415,0.000369415,0.000369415
21,1015.54,0.99672,1.41755,1.49164,1.05814,0,0.80845,0.8675,0.89832,0.67939,0.82144,0.84224,0.88906,0.62427,0.97156,1.37983,2.10768,1.11902,0,0.00036491,0.00036491,0.00036491
22,1063.05,0.98497,1.42519,1.4296,1.06902,0,0.74007,0.94315,0.96177,0.73908,0.74046,0.96122,0.96632,0.6878,0.8757,1.29768,2.07862,1.11719,0,0.000360406,0.000360406,0.000360406
23,1107.82,0.9713,1.40528,1.46744,1.07183,0,0.83094,0.9049,0.91924,0.69663,0.83094,0.9049,0.91847,0.64795,0.88251,1.2912,1.70469,1.11871,0,0.000355901,0.000355901,0.000355901
24,1158.17,0.94736,1.36149,1.38408,1.04832,0,0.757,0.90416,0.91368,0.7226,0.757,0.90416,0.9249,0.66301,0.88507,1.20625,1.98328,1.10386,0,0.000351396,0.000351396,0.000351396
25,1208.87,0.96474,1.395,1.36145,1.05506,0,0.77737,0.8934,0.92424,0.71319,0.79891,0.88364,0.91616,0.63064,0.86883,1.28931,1.81264,1.09553,0,0.000346892,0.000346892,0.000346892
26,1256.78,0.93272,1.38622,1.36706,1.05445,0,0.78828,0.92703,0.94651,0.72238,0.77807,0.91541,0.93262,0.65892,0.86616,1.36418,1.70097,1.10681,0,0.000342387,0.000342387,0.000342387
27,1306.53,0.8984,1.31407,1.2575,1.04025,0,0.82811,0.93042,0.9471,0.73632,0.82381,0.92496,0.94219,0.67729,0.8689,1.33633,1.44271,1.08384,0,0.000337883,0.000337883,0.000337883
28,1353.02,0.91276,1.33212,1.25367,1.05408,0,0.7954,0.95314,0.96355,0.72365,0.77069,0.92537,0.93774,0.6488,0.93608,1.46828,1.70762,1.11846,0,0.000333379,0.000333379,0.000333379
29,1398.02,0.95389,1.4059,1.27167,1.0498,0,0.8376,0.90386,0.93556,0.70688,0.83689,0.90764,0.93438,0.69004,0.8927,1.27714,1.82375,1.12043,0,0.000328874,0.000328874,0.000328874
30,1445.94,0.93502,1.34989,1.22207,1.05291,0,0.81004,0.92108,0.94715,0.72208,0.791,0.91207,0.90488,0.63969,0.91287,1.4313,1.49178,1.13125,0,0.000324369,0.000324369,0.000324369
31,1490.26,0.8918,1.38284,1.19584,1.02094,0,0.87339,0.91864,0.97417,0.77759,0.85509,0.90537,0.95333,0.6745,0.80817,1.30323,1.5442,1.0699,0,0.000319865,0.000319865,0.000319865
32,1534.22,0.8927,1.33534,1.16803,1.03626,0,0.76372,0.96834,0.94917,0.72898,0.75737,0.96723,0.93403,0.65119,0.88527,1.31213,1.48821,1.07761,0,0.00031536,0.00031536,0.00031536
33,1579.06,0.89684,1.29857,1.14554,1.02621,0,0.86151,0.9254,0.96415,0.75898,0.86151,0.9254,0.9711,0.68689,0.85269,1.30079,1.33684,1.04643,0,0.000310856,0.000310856,0.000310856
34,1624.81,0.94203,1.35894,1.17287,1.03922,0,0.88782,0.92648,0.98164,0.75756,0.88782,0.92648,0.98164,0.70098,0.86731,1.24457,1.48212,1.07808,0,0.000306351,0.000306351,0.000306351
35,1675.39,0.88508,1.29219,1.10921,1.02337,0,0.86145,0.94705,0.97394,0.72669,0.8666,0.95868,0.97278,0.69468,0.8802,1.23179,1.27218,1.0749,0,0.000301847,0.000301847,0.000301847
36,1717.78,0.87938,1.23113,1.07549,1.02294,0,0.81731,0.9411,0.97423,0.74622,0.80457,0.92721,0.95111,0.69312,0.84999,1.23857,1.31458,1.05868,0,0.000297342,0.000297342,0.000297342
37,1770.24,0.8877,1.29321,1.05087,1.02363,0,0.80161,0.9609,0.96668,0.76545,0.80726,0.96955,0.96543,0.67926,0.79867,1.24653,1.24558,1.06096,0,0.000292838,0.000292838,0.000292838
38,1821.91,0.88118,1.32664,1.0992,1.02757,0,0.84261,0.93446,0.95812,0.74166,0.84261,0.93446,0.96506,0.68556,0.87379,1.23534,1.11793,1.09122,0,0.000288333,0.000288333,0.000288333
39,1870.87,0.85264,1.20707,1.02081,1.01851,0,0.86925,0.94964,0.97123,0.79077,0.877,0.96318,0.98759,0.69661,0.79068,1.30375,1.17428,1.04312,0,0.000283829,0.000283829,0.000283829
